"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","Survival","No.Lvs","WetWt","A_WetWt","B_WetWt","LogB_WetWt","sqrtB_WetWt","rankB_WetWt"
"25","Basil","1","5","2","2","8","4",2016-11-18,"0","1","0",2016-11-21,"1",0,50.25,48.08,1.52,0.401400540781544,1.42126704035519,15
"0","Lettuce","1","17","1","2","9","1",2016-11-18,"2","2","1",2016-11-19,"1",2,76.78,73.5,2.93,0.594392550375427,1.85202591774521,55
"25","Lettuce","1","19","4","2","9","2",2016-11-18,"1","2","1",2016-11-20,"1",2,63.13,60.92,1.98,0.474216264076255,1.57480157480236,27.5
"25","Lettuce","1","11","1","2","9","3",2016-11-18,"1","2","1",2016-11-21,"1",2,86.74,83.1,3.61,0.663700925389648,2.02731349327133,75
"50","Basil","1","8","5","2","9","4",2016-11-18,"0","1","0",2016-11-21,"1",0,57.64,50.91,6.28,0.862131379313037,2.60384331325831,110
"50","Basil","1","9","5","2","10","1",2016-11-18,"0","1","0",2016-11-21,"1",0,39.05,34.69,4.22,0.717670503002262,2.17255609824004,88
"0","Basil","1","6","5","2","10","2",2016-11-18,"1","1","0",2016-11-21,"1",0,31.89,28.4,3.22,0.625312450961674,1.92873015219859,63
"50","Basil","1","3","2","2","10","3",2016-11-18,"0","1","0",2016-11-21,"1",2,43.79,38.14,5.07,0.783188691075258,2.36008474424119,96
"0","Lettuce","1","13","4","2","10","4",2016-11-18,"2","2","1",2016-11-20,"1",2,104.01,99.86,3.43,0.64640372622307,1.9824227601599,70
"50","Lettuce","1","18","3","3","1","1",2016-11-18,"1","1","0",2016-11-19,"1",2,84.06,80.42,3.53,0.656098202012832,2.00748598998847,72
"0","Lettuce","1","4","2","3","1","2",2016-11-18,"2","2","1",2016-11-20,"1",3,243.56,230.7,11.64,1.10174707394637,3.48425027803687,130
"25","Basil","1","19","4","3","1","3",2016-11-18,"1","2","0",2016-11-21,"1",2,82.77,79.33,1.75,0.439332693830263,1.5,18
"50","Lettuce","1","6","5","3","1","4",2016-11-18,"1","1","1",2016-11-20,"1",2,49.8,46.54,2.95,0.59659709562646,1.85741756210067,56
"100","Basil","1","1",NA,"3","2","1",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,152
"100","Basil","1","16",NA,"3","2","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,153
"0","Lettuce","1","8","5","3","2","3",2016-11-18,"1","2","1",2016-11-19,"1",2,49.01,43.95,4.82,0.764922984649889,2.30651251893416,92
"0","Lettuce","1","5","5","3","2","4",2016-11-18,"1","2","1",2016-11-20,"1",2,149.78,145.31,3.69,0.671172842715083,2.04694894904587,78
"50","Lettuce","1","15","3","3","3","1",2016-11-18,"1","1","0",2016-11-20,"1",2,119.72,115.98,3.11,0.613841821876069,1.9,60
"50","Lettuce","1","4","2","3","3","2",2016-11-18,"1","2","1",2016-11-20,"1",2,126.23,122.97,2.89,0.589949601325708,1.8411952639522,53
"50","Lettuce","1","8","5","3","3","3",2016-11-18,"1","1","0",2016-11-21,"1",1,136.99,132.74,3.56,0.658964842664435,2.01494416796099,73
"100","Lettuce","1","12","1","3","3","4",2016-11-18,"0","1","0",2016-11-22,"1",2,56.9,55.42,1.4,0.380211241711606,1.37840487520902,12
"50","Lettuce","1","7","5","3","4","1",2016-11-18,"1","1","1",2016-11-19,"1",2,89.56,87.18,1.96,0.471291711058939,1.56843871413581,24.5
"100","Lettuce","1","5","3","3","4","2",2016-11-18,"0","1","0",2016-11-21,"1",2,111.91,109.06,2.26,0.513217600067939,1.66132477258361,34
"100","Lettuce","1","13","2","3","4","3",2016-11-18,"0","1","0",2016-11-21,"1",2,12.77,12.47,0.16,0.0644579892269184,0.812403840463596,2
"25","Basil","1","12","1","3","4","4",2016-11-18,"0","1","0",2016-11-21,"1",0,62.34,59.11,2.77,0.576341350205793,1.80831413200251,51
"25","Basil","1","14","5","3","5","1",2016-11-18,"1","2","1",2016-11-20,"1",2,58.17,50.33,7.09,0.907948521612272,2.75499546279118,116
"100","Basil","1","4",NA,"3","5","2",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,154
"0","Basil","1","7","5","3","5","3",2016-11-18,"1","1","0",2016-11-21,"1",0,40.01,36.44,2.96,0.597695185925512,1.86010752377383,57
"50","Basil","1","15","2","3","5","4",2016-11-21,"0","1","0",2016-11-28,"1",0,11.59,7.95,3.14,0.617000341120899,1.90787840283389,62
"0","Basil","1","10","4","3","6","1",2016-11-18,"1","2","0",2016-11-22,"1",0,44.1,39.87,4.06,0.704150516839799,2.13541565040626,83
"0","Basil","1","13","3","3","6","2",2016-11-18,"1","1","0",2016-11-21,"1",0,55.83,51.23,3.84,0.684845361644412,2.08326666559997,80.5
"25","Basil","1","16","5","3","6","3",2016-11-18,"0","2","0",2016-11-21,"1",0,42.15,39.31,2.56,0.551449997972875,1.74928556845359,37
"0","Basil","1","4","1","3","6","4",2016-11-18,"2","2","0",2016-11-22,"1",0,13.41,12.23,1.16,0.334453751150931,1.28840987267251,9
