"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"25","Basil","1","18","4","3","8","2",2016-11-18,"1","2","0",2016-11-22,4,"1","02-Dec-16",0,41.09,38.15,2.79,14,"C",NA,"9350"
"50","Lettuce","1","13","4","3","9","1",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",2,86.59,84.2,1.96,15,"A",NA,"9351"
"0","Lettuce","1","10","3","3","9","2",2016-11-18,"2","2","1",2016-11-19,1,"1","02-Dec-16",2,113.58,110.81,2.59,15,"B",NA,"9351"
"0","Basil","1","16","3","3","10","1",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",2,62.81,53.33,6.77,15,"C",NA,"9351"
"25","Basil","1","19","4","3","1","3",2016-11-18,"1","2","0",2016-11-21,3,"1","02-Dec-16",2,49.01,43.95,4.82,16,"A",NA,"9352"
"50","Lettuce","1","6","5","3","1","4",2016-11-18,"1","1","1",2016-11-20,2,"1","02-Dec-16",2,149.78,145.31,3.69,16,"B",NA,"9352"
"0","Lettuce","1","8","5","3","2","3",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,136.99,132.74,3.56,16,"C",NA,"9352"
"0","Lettuce","1","5","5","3","2","4",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,56.9,55.42,1.4,16,"D",NA,"9352"
"50","Lettuce","1","8","5","3","3","3",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",1,12.77,12.47,0.16,17,"A",NA,"9353"
"100","Lettuce","1","12","1","3","3","4",2016-11-18,"0","1","0",2016-11-22,4,"1","02-Dec-16",2,62.34,59.11,2.77,17,"B",NA,"9353"
"100","Lettuce","1","13","2","3","4","3",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,82.77,79.33,1.75,17,"C",NA,"9353"
"25","Basil","1","12","1","3","4","4",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",0,49.8,46.54,2.95,17,"D",NA,"9353"
