Trtmt,Sp,Rep,ID,Plate,Tray,Row,Col,Date Sowed,H,Ex,C,Pheno,DateEmerg,D2Emerg,Survival,HarvestD,No.Lvs,WetWt,A_WetWt,B_WetWt,PhotoIDNo.,PhotoIDLet,PhotoIDAdd,PhotoID
50,Basil,1,11,3,1,2,3,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,01-Dec-16,0,57.06,55.54,1.42,6,B,,9327
50,Basil,1,12,3,1,3,1,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,01-Dec-16,0,53.98,47.87,5.2,4,A,,9325
50,Basil,1,13,3,1,3,3,18-Nov-16,0,1,0,0.1.0,20-Nov-16,2,1,01-Dec-16,0,78.15,63.88,10.45,7,A,,9328
50,Basil,1,14,3,1,10,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,01-Dec-16,0,49.87,44.22,4.83,10,C,,9331
50,Basil,1,15,2,3,5,4,21-Nov-16,0,1,0,0.1.0,28-Nov-16,7,1,02-Dec-16,0,11.59,7.95,3.14,18,B,,9354
50,Basil,1,16,4,4,7,3,21-Nov-16,0,1,0,0.1.0,24-Nov-16,3,1,05-Dec-16,0,38.08,33.73,3.87,9,A,,9370
50,Basil,1,17,4,3,9,4,21-Nov-16,0,1,0,0.1.0,25-Nov-16,4,1,02-Dec-16,0,29.85,28.72,1.07,20,B,,9356
50,Basil,1,18,1,1,8,2,21-Nov-16,0,1,0,0.1.0,,,0,,,,,,,,,
50,Basil,1,19,2,1,10,1,21-Nov-16,0,1,1,0.1.1,,,0,,,,,,,,,
50,Basil,1,20,4,4,8,1,21-Nov-16,0,1,0,0.1.0,24-Nov-16,3,1,05-Dec-16,0,60.88,55.95,4.37,4,C,,9365
50,Lettuce,1,1,2,1,3,2,18-Nov-16,1,1,1,1.1.1,20-Nov-16,2,1,01-Dec-16,2,129.61,114.18,13.58,3,D,,9324
50,Lettuce,1,2,2,2,2,2,18-Nov-16,1,1,1,1.1.1,,,0,,,,,,,,,
50,Lettuce,1,3,2,1,9,4,18-Nov-16,1,1,1,1.1.1,21-Nov-16,3,1,01-Dec-16,1,46.34,44.1,1.76,10,B,,9331
50,Lettuce,1,4,2,3,3,2,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,02-Dec-16,2,126.23,122.97,2.89,12,B,,9348
50,Lettuce,1,5,5,1,9,3,18-Nov-16,1,1,1,1.1.1,19-Nov-16,1,1,01-Dec-16,2,71.57,68.06,,10,A,,9331
50,Lettuce,1,6,5,3,1,4,18-Nov-16,1,1,1,1.1.1,20-Nov-16,2,1,02-Dec-16,2,149.78,145.31,3.69,16,B,,9352
50,Lettuce,1,7,5,3,4,1,18-Nov-16,1,1,1,1.1.1,19-Nov-16,1,1,02-Dec-16,2,89.56,87.18,1.96,12,C,,9348
50,Lettuce,1,8,5,3,3,3,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,1,12.77,12.47,0.16,17,A,,9353
50,Lettuce,1,9,5,3,7,3,18-Nov-16,1,1,0,1.1.0,19-Nov-16,1,1,02-Dec-16,2,23.58,21.57,1.75,19,A,,9355
50,Lettuce,1,10,4,2,3,3,18-Nov-16,1,1,0,1.1.0,20-Nov-16,2,1,02-Dec-16,2,123.98,120.5,2.75,7,A,,9343
50,Lettuce,1,11,4,2,7,1,18-Nov-16,1,1,0,1.1.0,20-Nov-16,2,1,02-Dec-16,2,60.85,59.3,0.7,4,A,,9340
50,Lettuce,1,12,4,3,8,3,18-Nov-16,1,1,0,1.1.0,22-Nov-16,4,1,02-Dec-16,2,50,48.11,1.94,19,C,,9355
50,Lettuce,1,13,4,3,9,1,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,2,86.59,84.2,1.96,15,A,,9351
50,Lettuce,1,14,4,1,7,4,18-Nov-16,1,1,0,1.1.0,24-Nov-16,6,1,01-Dec-16,0,14.54,12.76,1.09,9,B,,9330
50,Lettuce,1,15,3,3,3,1,18-Nov-16,1,1,0,1.1.0,20-Nov-16,2,1,02-Dec-16,2,119.72,115.98,3.11,12,A,,9348
50,Lettuce,1,16,3,3,10,4,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,2,53.61,52.09,1.43,20,D,,9356
50,Lettuce,1,17,3,2,8,1,18-Nov-16,1,1,0,1.1.0,20-Nov-16,2,1,02-Dec-16,2,109.19,102.98,5.45,4,B,,9340
50,Lettuce,1,18,3,3,1,1,18-Nov-16,1,1,0,1.1.0,19-Nov-16,1,1,02-Dec-16,2,84.06,80.42,3.53,11,A,,9347
50,Lettuce,1,19,3,4,7,2,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,05-Dec-16,3,211.25,202.06,7.73,4,B,,9365
50,Lettuce,1,20,2,4,4,3,18-Nov-16,1,1,0,1.1.0,20-Nov-16,2,1,05-Dec-16,3,248.54,241.79,5.63,7,C,,9368
100,Basil,1,1,,3,2,1,,,,,..,,,0,,,,,,,,,
100,Basil,1,2,,4,6,4,,,,,..,,,0,,,,,,,,,
100,Basil,1,3,,2,3,4,,,,,..,,,0,,,,,,,,,
100,Basil,1,4,,3,5,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,5,,1,8,1,,,,,..,,,0,,,,,,,,,
100,Basil,1,6,,2,8,3,,,,,..,,,0,,,,,,,,,
100,Basil,1,7,,4,1,4,,,,,..,,,0,,,,,,,,,
100,Basil,1,8,,1,9,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,9,,4,3,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,10,4,1,5,1,21-Nov-16,0,1,0,0.1.0,28-Nov-16,7,0,,,,,,,,,
100,Basil,1,11,,4,5,3,,,,,..,,,0,,,,,,,,,
100,Basil,1,12,,2,3,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,13,,3,10,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,14,,4,9,4,,,,,..,,,0,,,,,,,,,
100,Basil,1,15,,2,5,4,,,,,..,,,0,,,,,,,,,
100,Basil,1,16,,3,2,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,17,,1,10,3,,,,,..,,,0,,,,,,,,,
100,Basil,1,18,,1,6,1,,,,,..,,,0,,,,,,,,,
100,Basil,1,19,,2,8,2,,,,,..,,,0,,,,,,,,,
100,Basil,1,20,,2,7,2,,,,,..,,,0,,,,,,,,,
100,Lettuce,1,1,4,4,5,1,18-Nov-16,0,1,0,0.1.0,20-Nov-16,2,1,05-Dec-16,3,319.58,308.09,9.75,3,A,,9364
100,Lettuce,1,2,4,1,4,3,18-Nov-16,0,1,0,0.1.0,22-Nov-16,4,1,01-Dec-16,0,16.71,14.51,1.75,7,C,,9328
100,Lettuce,1,3,4,1,10,2,18-Nov-16,0,1,0,0.1.0,20-Nov-16,2,1,01-Dec-16,2,64.01,62.44,1.24,5,D,,9326
100,Lettuce,1,4,4,4,3,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,3,272.53,265.62,5.46,7,B,,9368
100,Lettuce,1,5,3,3,4,2,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,2,111.91,109.06,2.26,12,D,,9348
100,Lettuce,1,6,3,1,1,2,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,01-Dec-16,2,102.42,69.06,3.59,3,A,2,"9323, 9324"
100,Lettuce,1,7,3,4,6,1,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,3,272.28,262.4,8.26,3,C,,9364
100,Lettuce,1,8,3,2,4,4,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,2,108.99,106.95,1.65,7,C,,9343
100,Lettuce,1,9,1,4,2,1,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,3,207.07,196.75,8.36,1,C,,9362
100,Lettuce,1,10,1,1,5,4,18-Nov-16,0,1,1,0.1.1,21-Nov-16,3,1,01-Dec-16,0,10.67,10.48,0.19,8,B,,9329
100,Lettuce,1,11,1,4,10,3,18-Nov-16,0,1,1,0.1.1,21-Nov-16,3,1,05-Dec-16,2,138.01,134.67,2.62,10,B,,9371
100,Lettuce,1,12,1,3,3,4,18-Nov-16,0,1,0,0.1.0,22-Nov-16,4,1,02-Dec-16,2,62.34,59.11,2.77,17,B,,9353
100,Lettuce,1,13,2,3,4,3,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,2,82.77,79.33,1.75,17,C,,9353
100,Lettuce,1,14,2,4,9,2,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,2,197.94,191.44,5.28,5,B,,9366
100,Lettuce,1,15,2,1,6,2,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,01-Dec-16,2,101.66,98.39,2.35,,,,
100,Lettuce,1,16,2,4,10,1,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,3,261.63,253.37,6.65,5,C,,9366
100,Lettuce,1,17,5,1,8,4,18-Nov-16,0,1,0,0.1.0,22-Nov-16,4,1,01-Dec-16,1,54.79,52.21,2.01,9,D,,9330
100,Lettuce,1,18,5,2,5,3,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,02-Dec-16,2,86.05,83.39,1.98,8,A,,9344
100,Lettuce,1,19,5,1,7,3,18-Nov-16,0,1,0,0.1.0,22-Nov-16,4,1,01-Dec-16,2,48.11,47,0.85,9,A,,9330
100,Lettuce,1,20,5,4,3,3,18-Nov-16,0,1,0,0.1.0,21-Nov-16,3,1,05-Dec-16,2,174.21,169.74,3.27,7,A,,9368
0,Basil,2,1,1,9,9,1,27-Nov-16,0,2,0,0.2.0,02-Dec-16,,,,,,,,,,,
0,Basil,2,2,1,8,4,4,27-Nov-16,0,2,0,0.2.0,02-Dec-16,,,,,,,,,,,
0,Basil,2,3,1,5,4,4,27-Nov-16,0,2,0,0.2.0,30-Nov-16,,,,,,,,,,,
0,Basil,2,4,1,10,8,2,27-Nov-16,0,2,0,0.2.0,02-Dec-16,,,,,,,,,,,
0,Basil,2,5,2,2,3,1,27-Nov-16,0,2,1,0.2.1,02-Dec-16,,,,,,,,,,,
0,Basil,2,6,2,8,10,4,27-Nov-16,0,2,1,0.2.1,01-Dec-16,,,,,,,,,,,
0,Basil,2,7,2,9,2,4,27-Nov-16,0,2,1,0.2.1,01-Dec-16,,,,,,,,,,,
0,Basil,2,8,2,5,1,2,27-Nov-16,0,2,1,0.2.1,30-Nov-16,,,,,,,,,,,
0,Basil,2,9,3,6,6,1,27-Nov-16,0,2,1,0.2.1,02-Dec-16,,,,,,,,,,,
0,Basil,2,10,3,2,8,1,27-Nov-16,0,2,1,0.2.1,04-Dec-16,,,,,,,,,,,
0,Basil,2,11,3,12,1,1,27-Nov-16,0,2,1,0.2.1,02-Dec-16,,,,,,,,,,,
0,Basil,2,12,3,11,4,4,27-Nov-16,0,2,1,0.2.1,02-Dec-16,,,,,,,,,,,
0,Basil,2,13,4,11,10,1,27-Nov-16,0,2,1,0.2.1,01-Dec-16,,,,,,,,,,,
0,Basil,2,14,4,6,10,4,27-Nov-16,0,2,1,0.2.1,03-Dec-16,,,,,,,,,,,
0,Basil,2,15,4,1,8,1,27-Nov-16,0,2,1,0.2.1,02-Dec-16,,,,,,,,,,,
0,Basil,2,16,4,8,9,3,27-Nov-16,0,2,1,0.2.1,,,,,,,,,,,,
0,Basil,2,17,5,5,2,1,27-Nov-16,0,2,1,0.2.1,,,,,,,,,,,,
0,Basil,2,18,5,6,8,3,27-Nov-16,0,2,1,0.2.1,01-Dec-16,,,,,,,,,,,
0,Basil,2,19,5,10,8,4,27-Nov-16,0,2,1,0.2.1,,,,,,,,,,,,
0,Basil,2,20,5,3,2,3,27-Nov-16,0,2,1,0.2.1,01-Dec-16,,,,,,,,,,,
0,Lettuce,2,1,1,5,5,1,27-Nov-16,1,2,1,1.2.1,,,,,,,,,,,,
0,Lettuce,2,2,1,5,8,4,27-Nov-16,1,2,1,1.2.1,01-Dec-16,,,,,,,,,,,
0,Lettuce,2,3,1,10,5,3,27-Nov-16,1,2,1,1.2.1,29-Nov-16,,,,,,,,,,,
0,Lettuce,2,4,1,8,9,4,27-Nov-16,1,2,1,1.2.1,29-Nov-16,,,,,,,,,,,
0,Lettuce,2,5,2,3,3,4,27-Nov-16,1,2,1,1.2.1,,,,,,,,,,,,
0,Lettuce,2,6,2,7,1,2,27-Nov-16,1,2,1,1.2.1,29-Nov-16,,,,,,,,,,,
