"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"0.5","Lettuce","2","13",NA,"3","10","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Basil","2","4",NA,"3","10","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Lettuce","2","4",NA,"3","10","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"50NaCl","Lettuce","2","12",NA,"3","10","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25","Lettuce","2","5",NA,"4","1","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Lettuce","2","5",NA,"4","1","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"25NaCl","Lettuce","2","19",NA,"4","1","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5","Lettuce","2","12",NA,"4","1","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"100NaCl","Basil","2","18",NA,"4","2","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Lettuce","2","6",NA,"4","2","2",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5","Basil","2","7",NA,"4","2","3",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"5NaCl","Basil","2","1",NA,"4","2","4",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"10","Lettuce","2","8",NA,"4","3","1",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
